date,hushen300,ydlMIB,xxlNZ50,nfFTSE,bxBOVESPA
2020-07-24,-1.9494 ,-0.812662358,-0.212776085,-0.330475817,0.037459579
2020-07-27,0.2198 ,-0.119818956,-0.189413669,0.527923311,0.879919863
2020-07-28,0.3801 ,-0.25527361,-0.027560695,0.124659129,-0.153245916
2020-07-29,1.0403 ,-0.048163734,0.079334988,0.16852953,0.619661304
2020-07-30,-0.2127 ,-1.448410298,0.34525268,-0.66588219,-0.245989803
2020-07-31,0.3613 ,-0.309489564,0.132070619,-0.095838046,-0.875825077
2020-08-03,0.6997 ,0.649923334,-0.228493323,0.083782336,-0.034736434
2020-08-04,0.0408 ,0.521599715,0.391460096,0.325130496,-0.687105443
2020-08-06,-0.1187 ,-0.308425251,-0.026312704,1.073544099,1.230907134
2020-08-07,-0.5029 ,0.091956689,-0.437465335,-0.682468873,-0.566787421
2020-08-11,-0.2419 ,1.514680957,-0.005071617,0.312980437,-0.254771349
2020-08-12,-0.3179 ,0.487760721,-0.575921083,0.188779294,-0.02406887
2020-08-13,-0.1116 ,-0.38430208,0.033659022,0.001648883,-0.710563972
2020-08-14,0.6409 ,-0.494180621,-0.184215779,-0.259431333,0.384276871
2020-08-17,1.0092 ,-0.169010191,0.829397673,0.271243978,-0.759921257
2020-08-18,-0.0223 ,-0.228541362,0.6505839,-0.311071784,1.063900539
2020-08-19,-0.6554 ,0.456687582,-0.360092028,-0.453121953,-0.518640734
2020-08-20,-0.5674 ,-0.629144486,-0.330654851,-0.622638915,0.263662198
2020-08-21,0.3668 ,-0.157441647,0.642375946,0.249056608,0.022858375
2020-08-24,0.3393 ,0.911915994,0.311248322,0.521196638,0.330980319
2020-08-25,0.0557 ,-0.180259351,0.261911371,-0.393842836,-0.076616131
2020-08-26,-0.5121 ,0.231899105,0.138578451,0.353036724,-0.638481997
2020-08-27,0.2321 ,-0.629783963,0.079051371,0.227733302,-0.001592585
2020-08-31,0.7721 ,-0.470125526,-0.419508265,-1.077470754,-0.544844872
2020-09-01,0.2329 ,-0.085621847,-0.528537669,0.352088127,1.206182921
2020-09-02,0.0159 ,0.579438795,0.402551314,-0.051133434,-0.1091787
2020-09-03,-0.2409 ,-0.676046101,0.551331214,-1.05409812,-0.510003587
2020-09-04,-0.4247 ,-0.357383252,-0.839320884,-0.51554428,0.223797645
2020-09-08,-0.6959 ,-0.024799911,0.261164032,0.448957945,-0.514059819
2020-09-09,-1.0279 ,0.867785885,-0.575227534,0.611958477,0.535640119
2020-09-10,-0.0247 ,0.10728055,0.268017728,0.580254029,-1.066639569
2020-09-11,0.4273 ,0.001161304,-0.235030255,0.103788716,-0.207622772
2020-09-14,0.2225 ,-0.059090602,0.156864911,0.184829145,0.835785447
2020-09-15,0.3481 ,0.356499148,-0.072956021,-0.151592938,0.010129157
2020-09-16,-0.2892 ,0.015317441,0.161893027,-0.131762849,-0.270267616
2020-09-17,-0.2305 ,-0.490613556,-0.138359708,-0.723974324,0.183545545
2020-09-18,0.9677 ,-0.475150013,-0.532832817,-0.286563727,-0.79166089
2020-09-21,-0.4206 ,-1.6585506,-0.353920376,-1.089542103,-0.577787042
2020-09-22,-0.5184 ,0.2356255,0.263110431,-0.043802523,0.135382209
